,0
1225,Cisd3
1226,Cish
1227,Cited2
1228,Ciz1
1229,Ckap5
1230,Cks2
1231,Clasp1
1232,Clcc1
1233,Clcn2
1234,Clcn3
1235,Clcn4
1236,Clcn7
1237,Cldn1
1238,Cldn12
1239,Cldn14
1240,Cldn2
1241,Cldn3
1242,Cldnd1
1243,Clec16a
1244,Clec2d
1245,Clec4f
1246,Clic4
1247,Clint1
1248,Clip1
1249,Clk1
1250,Clk2
1251,Clk3
1252,Clk4
1253,Clmn
1254,Cln3
1255,Cln5
1256,Cln8
1257,Clns1a
1258,Clock
1259,Clp1
1260,Clpb
1261,Clpp
1262,Clptm1
1263,Clptm1l
1264,Clpx
1265,Clta
1266,Cltb
1267,Cltc
1268,Clu
1269,Cluap1
1270,Cluh
1271,Clybl
1272,Cmah
1273,Cmas
1274,Cmbl
1275,Cmc1
1276,Cmc2
1277,Cmip
1278,Cmpk1
1279,Cmpk2
1280,Cmtm4
1281,Cmtm6
1282,Cmtm8
1283,Cnbd2
1284,Cnbp
1285,Cndp2
1286,Cnep1r1
1287,Cnih1
1288,Cnih4
1289,Cnn3
1290,Cnnm3
1291,Cnot1
1292,Cnot10
1293,Cnot11
1294,Cnot2
1295,Cnot3
1296,Cnot4
1297,Cnot6
1298,Cnot6l
1299,Cnot7
1300,Cnot8
1301,Cnot9
1302,Cnp
1303,Cnppd1
1304,Cnpy2
1305,Cnpy3
1306,Cnst
1307,Cntnap2
1308,Cntrl
1309,Coa3
1310,Coa4
1311,Coa5
1312,Coa6
1313,Coa7
1314,Coasy
1315,Cobl
1316,Cobll1
1317,Cog1
1318,Cog2
1319,Cog3
1320,Cog4
1321,Cog5
1322,Cog6
1323,Cog7
1324,Col15a1
1325,Col18a1
1326,Col25a1
1327,Col4a1
1328,Col4a3bp
1329,Colec12
1330,Colgalt1
1331,Commd10
1332,Commd2
1333,Commd3
1334,Commd4
1335,Commd6
1336,Commd7
1337,Commd8
1338,Commd9
1339,Comt
1340,Comtd1
1341,Cop1
1342,Copa
1343,Copb1
1344,Copb2
1345,Cope
1346,Copg1
1347,Copg2
1348,Cops2
1349,Cops3
1350,Cops4
1351,Cops5
1352,Cops6
1353,Cops7a
1354,Cops8
1355,Cops9
1356,Copz1
1357,Copz2
1358,Coq10a
1359,Coq10b
1360,Coq2
1361,Coq3
1362,Coq4
1363,Coq5
1364,Coq6
1365,Coq7
1366,Coq8a
1367,Coq8b
1368,Coq9
1369,Coro1b
1370,Coro1c
1371,Coro7
1372,Cox10
1373,Cox11
1374,Cox14
1375,Cox15
1376,Cox17
1377,Cox18
1378,Cox19
1379,Cox20
1380,Cox5a
1381,Cox5b
1382,Cox6a1
1383,Cox6b1
1384,Cox6c
1385,Cox7a1
1386,Cox7a2
1387,Cox7a2l
1388,Cox7b
1389,Cox7c
1390,Cox8a
1391,Cp
1392,Cpb2
1393,Cpd
1394,Cpeb2
1395,Cpeb3
1396,Cpeb4
1397,Cped1
1398,Cpn1
1399,Cpn2
1400,Cpne1
1401,Cpne3
1402,Cpox
1403,Cpped1
1404,Cpq
1405,Cps1
1406,Cpsf1
1407,Cpsf2
1408,Cpsf3
1409,Cpsf4
1410,Cpsf6
1411,Cpsf7
1412,Cpt1a
1413,Cpt2
1414,Cptp
1415,Cr1l
1416,Cradd
1417,Cramp1l
1418,Crat
1419,Crb3
1420,Crbn
1421,Crcp
1422,Creb1
1423,Creb3
1424,Creb3l2
1425,Creb3l3
1426,Crebbp
1427,Crebl2
1428,Crebrf
1429,Crebzf
1430,Creg1
1431,Creld1
1432,Creld2
1433,Crem
1434,Crim1
1435,Crip2
1436,Cript
1437,Crk
1438,Crkl
1439,Crlf3
1440,Crls1
1441,Crnkl1
1442,Crot
1443,Crp
1444,Crtc2
1445,Crtc3
1446,Cry1
1447,Cry2
1448,Crybg1
1449,Crybg3
1450,Cryl1
1451,Cryz
1452,Cryzl2
1453,Cs
1454,Csad
1455,Csde1
1456,Cse1l
1457,Csf1
1458,Csgalnact2
1459,Csk
1460,Csnk1a1
1461,Csnk1d
1462,Csnk1e
1463,Csnk1g2
1464,Csnk1g3
1465,Csnk2a1
1466,Csnk2a2
1467,Csnk2b
1468,Cspg5
1469,Cspp1
1470,Csrp2
1471,Csrp3
1472,Cst3
1473,Cstb
1474,Cstf1
1475,Cstf2
1476,Cstf2t
1477,Cstf3
1478,Ctbp1
1479,Ctbs
1480,Ctcf
1481,Ctdnep1
1482,Ctdp1
1483,Ctdsp1
1484,Ctdsp2
1485,Ctdspl2
1486,Ctf1
1487,Cth
1488,Ctif
1489,Ctla4
1490,Ctnna1
1491,Ctnnb1
1492,Ctnnbip1
1493,Ctnnbl1
1494,Ctnnd1
1495,Ctns
1496,Ctps2
1497,Ctr9
1498,Ctsa
1499,Ctsb
1500,Ctsc
1501,Ctsf
1502,Ctsh
1503,Ctsl
1504,Ctso
1505,Ctsz
1506,Cttn
1507,Cuedc2
1508,Cul1
1509,Cul2
1510,Cul3
1511,Cul4a
